id,name,lat,lng,description,cuisine,style,created_at,updated_at,area,phone,,,price,reserve_url,mobile_reserve_url,image_url,city,state,address,postal_code,country,url,menu_url
77,10pin Bowling Lounge,41.888634,-87.628091,,,,2018-11-25 21:45:20.877203,2018-11-25 21:45:20.877203,Chicago / Illinois,3126440300x,,,4,http://www.opentable.com/single.aspx?rid=7267,http://mobile.opentable.com/opentable/?restId=7267,https://www.opentable.com/img/restimages/7267.jpg,Chicago,IL,330 N State Street,60610,US,,
78,Chicago Chop House,41.893491,-87.63045,,,,2018-11-25 21:45:20.912627,2018-11-25 21:45:20.912627,Chicago / Illinois,3127877100,,,4,http://www.opentable.com/single.aspx?rid=147604,http://mobile.opentable.com/opentable/?restId=147604,https://www.opentable.com/img/restimages/147604.jpg,Chicago,IL,60 W Ontario St,60654,US,,
79,Osteria Langhe,41.917688,-87.698281,,,,2018-11-25 21:45:20.915119,2018-11-25 21:45:20.915119,Chicago / Illinois,7736611582x,,,2,http://www.opentable.com/single.aspx?rid=149062,http://mobile.opentable.com/opentable/?restId=149062,https://www.opentable.com/img/restimages/149062.jpg,Chicago,IL,2824 West Armitage Avenue,60647,US,,
80,The Capital Grille - Chicago - Downtown,41.893591,-87.622615,,,,2018-11-25 21:45:20.917489,2018-11-25 21:45:20.917489,Chicago / Illinois,3123379400x,,,4,http://www.opentable.com/single.aspx?rid=2053,http://mobile.opentable.com/opentable/?restId=2053,https://www.opentable.com/img/restimages/2053.jpg,Chicago,IL,633 North Saint Clair,60611,US,,
81,Signature Room at the 95th,41.8987,-87.6241,,,,2018-11-25 21:45:20.919895,2018-11-25 21:45:20.919895,Chicago / Illinois,3127879596x,,,4,http://www.opentable.com/single.aspx?rid=3401,http://mobile.opentable.com/opentable/?restId=3401,https://www.opentable.com/img/restimages/3401.jpg,Chicago,IL,875 N. Michigan Avenue,60611,US,,
82,Café Ba-Ba-Reeba,41.918677,-87.648811,,,,2018-11-25 21:45:20.921943,2018-11-25 21:45:20.921943,Chicago / Illinois,7739355000x,,,2,http://www.opentable.com/single.aspx?rid=1162,http://mobile.opentable.com/opentable/?restId=1162,https://www.opentable.com/img/restimages/1162.jpg,Chicago,IL,2024 North Halsted St.,60614,US,,
83,Gaudí Café,41.890772,-87.656439,,,,2018-11-25 21:45:20.924657,2018-11-25 21:45:20.924657,Chicago / Illinois,3127339528x,,,2,http://www.opentable.com/single.aspx?rid=145783,http://mobile.opentable.com/opentable/?restId=145783,https://www.opentable.com/img/restimages/145783.jpg,Chicago,IL,1147 W Grand Ave,60642,US,,
84,Sola,41.952,-87.677,,,,2018-11-25 21:45:20.928063,2018-11-25 21:45:20.928063,Chicago / Illinois,7733273868,,,2,http://www.opentable.com/single.aspx?rid=5822,http://mobile.opentable.com/opentable/?restId=5822,https://www.opentable.com/img/restimages/5822.jpg,Chicago,IL,3868 N Lincoln,60613,US,,
85,goosefoot,41.96858,-87.695971,,,,2018-11-25 21:45:20.930188,2018-11-25 21:45:20.930188,Chicago / Illinois,7739427547x,,,4,http://www.opentable.com/single.aspx?rid=71881,http://mobile.opentable.com/opentable/?restId=71881,https://www.opentable.com/img/restimages/71881.jpg,Chicago,IL,2656 W Lawrence Ave,60625,US,,
86,Fat Rice,41.931925,-87.702288,,,,2018-11-25 21:45:20.932397,2018-11-25 21:45:20.932397,Chicago / Illinois,7736619170x,,,2,http://www.opentable.com/single.aspx?rid=150433,http://mobile.opentable.com/opentable/?restId=150433,https://www.opentable.com/img/restimages/150433.jpg,Chicago,IL,2957 W. Diversey Ave,60647,US,,
87,Spencer's Jolly Posh Foods,41.950555,-87.663831,,,,2018-11-25 21:45:20.93423,2018-11-25 21:45:20.93423,Chicago / Illinois,8728023840x,,,2,http://www.opentable.com/single.aspx?rid=150607,http://mobile.opentable.com/opentable/?restId=150607,https://www.opentable.com/img/restimages/150607.jpg,Chicago,IL,3755 N Southport,60613,US,,
88,Ditka's - Chicago,41.8983,-87.6256,,,,2018-11-25 21:45:20.936278,2018-11-25 21:45:20.936278,Chicago / Illinois,3125878989x,,,3,http://www.opentable.com/single.aspx?rid=2448,http://mobile.opentable.com/opentable/?restId=2448,https://www.opentable.com/img/restimages/2448.jpg,Chicago,IL,100 E. Chestnut Street,60611,US,,
89,The Terrace Rooftop  Bar  Restaurant,41.891256,-87.625365,,,,2018-11-25 21:45:20.938354,2018-11-25 21:45:20.938354,Chicago / Illinois,3123770979x,,,3,http://www.opentable.com/single.aspx?rid=6650,http://mobile.opentable.com/opentable/?restId=6650,https://www.opentable.com/img/restimages/6650.jpg,Chicago,IL,Conrad Chicago,60611,US,,
90,Anteprima,41.978411,-87.668256,,,,2018-11-25 21:45:20.940448,2018-11-25 21:45:20.940448,Chicago / Illinois,7735069990x,,,3,http://www.opentable.com/single.aspx?rid=16765,http://mobile.opentable.com/opentable/?restId=16765,https://www.opentable.com/img/restimages/16765.jpg,Chicago,IL,5316 N Clark Street,60640,US,,
91,Gibsons Bar & Steakhouse - Chicago,41.90168,-87.628244,,,,2018-11-25 21:45:20.942444,2018-11-25 21:45:20.942444,Chicago / Illinois,3122668999,,,4,http://www.opentable.com/single.aspx?rid=1842,http://mobile.opentable.com/opentable/?restId=1842,https://www.opentable.com/img/restimages/1842.jpg,Chicago,IL,1028 North Rush,60611,US,,
92,HUB 51,41.889798,-87.630093,,,,2018-11-25 21:45:20.944648,2018-11-25 21:45:20.944648,Chicago / Illinois,3128280051x,,,2,http://www.opentable.com/single.aspx?rid=23299,http://mobile.opentable.com/opentable/?restId=23299,https://www.opentable.com/img/restimages/23299.jpg,Chicago,IL,51 W. Hubbard,60654,US,,
93,L2O,41.924091,-87.636973,,,,2018-11-25 21:45:20.946755,2018-11-25 21:45:20.946755,Chicago / Illinois,7738680002x,,,4,http://www.opentable.com/single.aspx?rid=20989,http://mobile.opentable.com/opentable/?restId=20989,https://www.opentable.com/img/restimages/20989.jpg,Chicago,IL,2300 N. Lincoln Park West,60614,US,,
94,Kamehachi of Tokyo - Wells Street,41.910041,-87.634223,,,,2018-11-25 21:45:20.949112,2018-11-25 21:45:20.949112,Chicago / Illinois,3126643663,,,2,http://www.opentable.com/single.aspx?rid=2323,http://mobile.opentable.com/opentable/?restId=2323,https://www.opentable.com/img/restimages/2323.jpg,Chicago,IL,1531 N Wells Street,60610,US,,
95,RL Restaurant,41.896563,-87.625166,,,,2018-11-25 21:45:20.951575,2018-11-25 21:45:20.951575,Chicago / Illinois,3124751100,,,3,http://www.opentable.com/single.aspx?rid=2092,http://mobile.opentable.com/opentable/?restId=2092,https://www.opentable.com/img/restimages/2092.jpg,Chicago,IL,115 E Chicago Ave,60611,US,,
